Firm:,Viceroy,,,,Hindenberg,,,,Spruce Point,,,,Muddy Waters,,,,Scorpion,,,,Blue Orca,,,,Fuzzy Panda,,
,Stock Exchange,Stock Ticker,Date Published,,Stock Exchange,Stock Ticker,Date Published,,Stock Exchange,Stock Ticker,Date Published,,Stock Exchange,Stock Ticker,Date Published,,Stock Exchange,Stock Ticker,Date Published,,Stock Exchange,Stock Ticker,Date Published,,Stock Exchange,Stock Ticker,Date Published
,STO,SBBB,3/17/2022,,,,,,,,,,,,,,,,,,,,,,,,
,STO,SBBB,3/9/2022,,,,,,,,,,,,,,,,,,,,,,,,
,STO,SBBB,3/2/2022,,,,,,,,,,,,,,,,,,,,,,,,
,STO,SBBB,2/23/2022,,,,,,,,,,,,,,,,,,,,,,,,
,STO,SBBB,2/21/2022,,,,,,,,,,,,,,,,,,,,,,,,
,XTRA,SANT,12/16/2021,,,,,,,,,,,,,,,,,,,,,,,,
,NASDAQ,SRNE,5/20/2020,,,,,,,,,,,,,,,,,,,,,,,,
,ETR,SNH,12/6/2017,,,,,,,,,,,,,,,,,,,,,,,,
,STO,SCA,3/22/2024,,,,,,,,,,,,,,,,,,,,,,,,
,STO,SCA,3/21/2024,,,,,,,,,,,,,,,,,,,,,,,,
,STO,SCA,2/15/2024,,,,,,,,,,,,,,,,,,,,,,,,
,STO,SCA,2/1/2024,,,,,,,,,,,,,,,,,,,,,,,,
,STO,SCA,1/30/2024,,,,,,,,,,,,,,,,,,,,,,,,
,STO,SCA,1/25/2024,,,,,,,,,,,,,,,,,,,,,,,,
,ASX,SYR,12/23/2016,,,,,,,,,,,,,,,,,,,,,,,,
,SS,TRUEB,8/5/2022,,,,,,,,,,,,,,,,,,,,,,,,
,SS,TRUEB,8/3/2022,,,,,,,,,,,,,,,,,,,,,,,,
,SS,TRUEB,9/28/2022,,,,,,,,,,,,,,,,,,,,,,,,
,XTRA,WDI,11/6/2020,,,,,,,,,,,,,,,,,,,,,,,,
,XTRA,WDI,7/3/2020,,,,,,,,,,,,,,,,,,,,,,,,
,ASX,TYR,1/19/2021,,,,,,,,,,,,,,,,,,,,,,,,
,ASX,TYR,1/18/2021,,,,,,,,,,,,,,,,,,,,,,,,
,ASX,TYR,1/14/2021,,,,,,,,,,,,,,,,,,,,,,,,
