Exchange,Ticker,Publish_Date,Market_Cap,Publish_Date_Open,Publish_Date_Close,Next_Day_Open,Next_Day_Close,One_Week_Open,One_Week_Close,One_Month_Open,One_Month_Close,Three_Month_Open,Three_Month_Close,Six_Month_Open,Six_Month_Close
NASDAQ,TASK,01/20/2022,1049828208.07,33.83,30.13,29.02,28.79,30.12,27.63,28.06,28.18,37.28,35.29,18.98,19.47
NASDAQ,HSKA,10/25/2021,None,213.61,221.1,222.78,228.8,222.26,224.12,176.7,175.21,143.51,153.34,125.4,130.7
NYSE,LSPD,09/29/2021,13358049722.3,105.78,98.77,98.04,96.43,87.77,88.09,96.94,97.69,41.51,40.75,29.03,29.06
NYSE,GENI,08/05/2021,4008196780.86,16.04,16.81,17.34,17.97,17.95,18.76,21.76,21.3,18.7,19.09,6.66,6.97
NASDAQ,OTLY,07/14/2021,12451664356.8,403.7,410.8,400.0,389.6,396.2,377.4,338.2,337.4,286.0,283.8,160.0,145.0
NYSE,DNMR,05/21/2021,2652671449.73,805.6,878.4,890.4,841.2,940.0,887.2,918.4,929.2,592.8,563.2,595.6,648.0
NASDAQ,PRCH,04/08/2021,1803851665.55,16.94,17.3,17.11,16.8,16.78,16.08,12.66,12.6,19.69,19.48,16.04,16.49
NYSEAMEX,LODE,03/10/2021,2019834127.0,45.3,41.0,43.7,42.0,47.5,47.6,49.3,46.5,44.2,42.1,34.8,31.4
NYSE,LDOS,02/16/2021,12675694571.33,102.0,98.8,97.97,99.04,91.94,87.8,91.41,91.42,96.89,97.42,90.96,92.54
NASDAQ,MGNI,01/07/2021,3646846287.96,26.94,25.61,25.42,25.08,27.42,31.14,56.37,58.65,40.39,39.76,34.02,34.41
NYSE,AVY,11/10/2020,10824955666.26,139.68,138.81,139.85,139.81,139.44,137.65,141.63,139.49,159.86,161.77,207.28,205.67
NYSE,NOVA,09/29/2020,None,None,None,None,None,None,None,None,None,None,None,None,None
NYSE,GFL,08/18/2020,6797259185.84,19.75,19.34,19.78,18.27,18.77,18.56,20.62,21.7,22.68,23.82,28.75,28.37
NYSE,PBH,06/30/2020,1848484330.35,36.28,37.56,37.61,36.89,35.98,36.57,37.23,37.58,34.64,35.22,35.06,35.17
NASDAQ,FSCT,05/13/2020,None,None,None,None,None,None,None,None,None,None,None,None,None
NASDAQ,ALGN,04/09/2020,14003641610.89,183.87,193.19,189.34,185.72,185.77,180.34,207.71,214.3,274.35,278.39,322.19,316.08
NYSE,AMCR,03/10/2020,16331609818.8,7.09,7.07,6.49,6.3,4.85,4.91,6.82,7.22,8.67,8.38,8.78,8.68
NASDAQ,DBX,02/06/2020,3531747791.71,17.67,18.26,18.1,18.1,18.5,18.61,18.46,17.67,20.21,20.34,23.28,23.23
NASDAQ,LHCG,01/15/2020,None,None,None,None,None,None,None,None,None,None,None,None,None
NASDAQ,PLUG,12/19/2019,3412674667.9,2.88,2.93,2.89,2.94,3.09,3.15,4.15,4.32,2.94,2.83,5.48,5.45
TSE,CTC,12/05/2019,None,None,None,None,None,None,None,None,None,None,None,None,None
NASDAQ,CTAS,11/13/2019,24297904489.77,59.78,60.46,60.15,61.44,60.83,61.46,61.42,62.02,69.65,69.52,51.11,50.78
NYSE,HRC,10/29/2019,None,None,None,None,None,None,None,None,None,None,None,None,None
NASDAQ,MPWR,10/09/2019,6185724318.42,127.05,129.16,127.97,130.95,137.36,135.57,155.1,157.73,168.61,169.12,154.33,163.34
NASDAQ,PINC,09/25/2019,2165426052.82,27.76,26.19,26.62,25.57,23.97,23.8,28.48,28.9,33.0,32.88,24.6,23.34
NYSE,CHD,09/05/2019,17587790590.72,74.34,72.2,72.14,70.71,68.09,67.68,70.74,70.85,64.32,65.56,70.32,68.51
NYSE,PEN,07/31/2019,6536254258.43,175.27,167.6,168.57,167.81,151.92,147.02,145.95,145.55,157.6,162.86,168.79,172.44
NYSE,MTD,07/24/2019,16729921964.77,784.0,812.17,805.14,790.68,759.41,756.75,666.27,642.84,686.33,684.21,831.0,835.13
NASDAQ,AAXN,06/19/2019,None,None,None,None,None,None,None,None,None,None,None,None,None
NASDAQ,VRNT,05/23/2019,1704803157.89,29.29,28.27,28.31,28.62,30.29,29.05,28.01,27.69,27.81,27.77,24.68,24.54
NYSE,AOS,05/16/2019,4594239164.35,42.94,40.21,39.66,39.08,38.65,38.93,40.59,40.47,40.27,40.17,46.68,46.85
NASDAQ,KRNT,05/14/2019,1196209987.28,27.0,26.02,26.37,28.12,27.26,27.0,27.51,28.63,27.02,27.55,33.85,34.15
NASDAQ,PETQ,04/30/2019,None,None,None,None,None,None,None,None,None,None,None,None,None
NYSE,AJRD,04/09/2019,None,None,None,None,None,None,None,None,None,None,None,None,None
NASDAQ,DXCM,03/21/2019,13937198477.13,36.38,35.54,35.17,32.26,28.83,29.59,28.43,29.15,38.21,38.44,37.74,38.42
NASDAQ,IRBT,03/11/2019,3857310332.38,122.2,122.97,122.67,123.98,125.23,127.83,122.4,126.0,91.97,90.12,62.5,63.3
NYSE,CVNA,03/01/2019,5101228015.09,45.09,43.62,43.57,42.07,48.73,49.6,58.74,58.94,58.33,58.75,80.25,81.96
NASDAQ,DOX,01/23/2019,5278189826.57,50.11,47.99,47.93,48.19,48.6,48.25,49.22,49.53,47.58,47.5,55.93,55.59
NYSE,XPO,12/13/2018,1812417346.5,20.06,15.39,16.56,17.83,17.78,18.27,20.55,20.79,17.1,17.24,19.45,19.19
TSX,DOL,10/31/2018,7175983508.14,25.8,25.98,23.9,27.05,26.61,26.71,25.58,25.06,25.29,25.35,29.68,29.3
NASDAQ,MRCY,10/17/2018,2874990663.58,49.9,47.9,47.0,46.92,46.34,45.3,49.41,49.72,47.26,47.31,66.35,65.69
NYSE,WMK,09/05/2018,926758614.4,38.77,37.45,37.38,38.05,38.88,38.52,36.38,35.55,39.74,38.94,42.74,40.43
NYSE,MAXR,08/07/2018,None,None,None,None,None,None,None,None,None,None,None,None,None
NASDAQ,TWOU,07/19/2018,None,None,None,None,None,None,None,None,None,None,None,None,None
NASDAQ,MOMO,06/27/2018,3245511229.64,28.88,27.21,27.29,28.2,28.06,28.06,27.49,26.59,29.01,29.32,14.69,15.04
NYSE,HTA,06/07/2018,None,None,None,None,None,None,None,None,None,None,None,None,None
NASDAQ,USCR,05/17/2018,None,None,None,None,None,None,None,None,None,None,None,None,None
NASDAQ,KTOS,05/15/2018,1897250141.37,11.38,11.24,11.3,10.93,11.11,10.84,11.66,11.51,13.03,12.71,15.52,15.11
NYSE,GLOB,04/04/2018,2122507664.88,49.75,48.18,48.23,48.35,45.47,44.79,45.92,46.0,56.86,56.34,59.11,59.1
NYSE,O,02/07/2018,30090964157.96,33.71,32.91,32.86,32.0,32.66,32.36,34.19,34.38,35.78,35.75,39.87,39.74
NASDAQ,BLDP,01/25/2018,982889204.07,3.74,3.27,3.4,3.01,3.64,3.56,3.5,3.52,3.4,3.34,3.14,3.04
NASDAQ,MATW,01/11/2018,1290990813.69,42.45,41.93,41.97,41.81,42.74,42.84,43.57,43.61,40.57,40.77,49.73,48.83
